BoardingPass{name='Matthew', email='example@example.com', phoneNumber='(831) 123-1234', gender=Male, age=23, boardingPassNumber=GVKW4R, date='5-17-2022', origin='LAX', destination='MCO', departureTime='11:30 AM', estimatedTimeOfArrival='null', ticketPrice=80.0}
BoardingPass{name='JoeBob', email='tmjonker1@outlook.com', phoneNumber='777-777-7777', gender=Male, age=6, boardingPassNumber=8CUEAH, date='2022-05-18', origin='ORD', destination='CLT', departureTime='10:26', estimatedTimeOfArrival='11:26', ticketPrice=40.0}
BoardingPass{name='JoeBob', email='tmjonker1@outlook.com', phoneNumber='777-777-7777', gender=Male, age=6, boardingPassNumber=1E1VU2, date='2022-05-18', origin='ORD', destination='ORD', departureTime='10:26', estimatedTimeOfArrival='10:26', ticketPrice=40.0}
BoardingPass{name='sdfaf', email='asdfasaf@sdfa.com', phoneNumber='777-777-7777', gender=Male, age=13, boardingPassNumber=WCWLVO, date='2022-05-18', origin='DFW', destination='DEN', departureTime='13:16', estimatedTimeOfArrival='15:16', ticketPrice=80.0}
BoardingPass{name='sfdaf', email='asdfaf@fdaf.com', phoneNumber='777-777-7777', gender=Male, age=17, boardingPassNumber=EIL2JU, date='2022-05-18', origin='DFW', destination='ORD', departureTime='10:02', estimatedTimeOfArrival='10:2', ticketPrice=80.0}
BoardingPass{name='adfaf', email='tsdfaf@adfa.com', phoneNumber='777-777-7777', gender=Male, age=20, boardingPassNumber=CGNQX2, date='2022-05-18', origin='ATL', destination='DFW', departureTime='02:00', estimatedTimeOfArrival='4:0', ticketPrice=80.0}
BoardingPass{name='sadfaf', email='asdfafd@adfaf.com', phoneNumber='777-777-7777', gender=Male, age=23, boardingPassNumber=FRNRDR, date='2022-05-18', origin='ATL', destination='DFW', departureTime='09:54', estimatedTimeOfArrival='11:54', ticketPrice=80.0}
BoardingPass{name='asdfa', email='asffa@adfa.com', phoneNumber='777-777-7777', gender=Male, age=18, boardingPassNumber=HPIMLJ, date='2022-05-18', origin='ATL', destination='DFW', departureTime='05:53', estimatedTimeOfArrival='7:53', ticketPrice=80.0}
BoardingPass{name='sdfda', email='asdfaf@asdfa.com', phoneNumber='777-777-7777', gender=Male, age=0, boardingPassNumber=35VJWH, date='2022-05-18', origin='DFW', destination='CLT', departureTime='13:50', estimatedTimeOfArrival='14:50', ticketPrice=40.0}
BoardingPass{name='asdfaf', email='asdfaf@asdaf.com', phoneNumber='777-777-7777', gender=Male, age=9, boardingPassNumber=8BLQ68, date='2022-05-18', origin='ATL', destination='DEN', departureTime='06:39', estimatedTimeOfArrival='10:39', ticketPrice=40.0}
BoardingPass{name='sdfafaf', email='asdfas@sfasfas.com', phoneNumber='777-777-7777', gender=Male, age=17, boardingPassNumber=RLKIBE, date='2022-05-18', origin='ATL', destination='DEN', departureTime='06:27', estimatedTimeOfArrival='10:27', ticketPrice=80.0}
BoardingPass{name='fdsaf', email='sdfaf@asdfa.com', phoneNumber='777-777-7777', gender=Male, age=0, boardingPassNumber=IBP2JV, date='2022-05-18', origin='DFW', destination='DEN', departureTime='12:57', estimatedTimeOfArrival='14:57', ticketPrice=40.0}
BoardingPass{name='sdfa', email='sdfa@asdfa.com', phoneNumber='777-777-7777', gender=Male, age=20, boardingPassNumber=0KVOCE, date='2022-05-18', origin='DFW', destination='LAS', departureTime='14:19', estimatedTimeOfArrival='17:19', ticketPrice=80.0}
BoardingPass{name='dfafa', email='asdfa@sdfaf.com', phoneNumber='777-777-7777', gender=Male, age=13, boardingPassNumber=X77TWU, date='2022-05-18', origin='DEN', destination='CLT', departureTime='11:00', estimatedTimeOfArrival='14:0', ticketPrice=80.0}
